account.length,area.code,international.plan,voice.mail.plan,number.vmail.messages,total.day.minutes,total.day.calls,total.eve.minutes,total.eve.calls,total.night.minutes,total.night.calls,total.intl.minutes,total.intl.calls,number.customer.service.calls,Status,avg.minute.day,avg.minute.eve,avg.minute.night,avg.minute.intl
124,415,no,no,0,167.4,119,233.2,143,109.6,115,10.3,5,0,False,1.40672268907563,1.63076923076923,0.95304347826087,2.06
22,510,no,no,0,160.4,108,218.1,88,192.9,115,12.5,4,1,False,1.48518518518519,2.47840909090909,1.67739130434783,3.125
75,415,no,no,0,143.2,92,209.1,142,173,96,11.9,9,1,False,1.55652173913043,1.47253521126761,1.80208333333333,1.32222222222222
134,408,no,no,0,205.3,122,240.5,155,179.1,107,5,9,1,False,1.6827868852459,1.55161290322581,1.67383177570093,0.555555555555556
164,408,no,yes,25,219.1,88,151.5,99,50.1,60,14.3,6,1,False,2.48977272727273,1.53030303030303,0.835,2.38333333333333
44,510,no,no,0,143.2,77,169.8,114,215.8,77,7.6,4,1,False,1.85974025974026,1.48947368421053,2.8025974025974,1.9
177,415,no,no,0,232.8,106,175.2,97,212.2,77,12.5,7,2,False,2.19622641509434,1.80618556701031,2.75584415584416,1.78571428571429
110,408,no,no,0,162,81,247.5,89,155.5,99,8.9,8,0,False,2,2.78089887640449,1.57070707070707,1.1125
53,415,no,yes,27,25.9,119,206.5,96,228.1,64,6.5,7,1,False,0.217647058823529,2.15104166666667,3.5640625,0.928571428571429
108,415,no,no,0,154.2,123,112.3,86,246.4,75,15.4,4,4,True,1.25365853658537,1.30581395348837,3.28533333333333,3.85
80,408,no,no,0,322.3,113,222,95,162.8,123,6.7,8,0,True,2.85221238938053,2.33684210526316,1.32357723577236,0.8375
158,408,no,no,0,209.9,112,221.3,82,210,93,8.2,3,1,False,1.87410714285714,2.69878048780488,2.25806451612903,2.73333333333333
64,408,no,yes,19,291.1,150,226.7,123,219.1,67,7.5,2,1,False,1.94066666666667,1.84308943089431,3.27014925373134,3.75
88,415,no,no,0,215.6,115,216.2,85,171.3,65,11.8,1,3,False,1.87478260869565,2.54352941176471,2.63538461538462,11.8
82,510,yes,no,0,208.8,101,213.7,87,175.1,86,12.4,6,3,False,2.06732673267327,2.45632183908046,2.03604651162791,2.06666666666667
111,415,no,no,0,255.9,97,204.1,129,171.3,84,12.3,5,3,False,2.63814432989691,1.58217054263566,2.03928571428571,2.46
60,408,no,no,0,252.7,97,221.1,121,109.9,100,12.4,4,2,False,2.60515463917526,1.82727272727273,1.099,3.1
113,408,no,no,0,132.1,72,247.5,107,246.2,123,6.9,6,3,False,1.83472222222222,2.31308411214953,2.00162601626016,1.15
105,510,no,yes,42,101.9,79,223.1,97,241.6,77,12.9,2,0,False,1.28987341772152,2.3,3.13766233766234,6.45
85,510,no,no,0,211.5,100,184.6,88,164.3,131,13.3,4,2,False,2.115,2.09772727272727,1.25419847328244,3.325
131,510,no,no,0,153.4,86,198.5,81,164.4,83,10.4,3,0,False,1.78372093023256,2.45061728395062,1.98072289156627,3.46666666666667
59,510,no,no,0,166.3,95,239.3,87,123.2,108,10,3,2,False,1.75052631578947,2.75057471264368,1.14074074074074,3.33333333333333
148,408,no,no,0,185.2,87,170.4,96,165.1,104,9.5,13,1,False,2.12873563218391,1.775,1.5875,0.730769230769231
210,408,no,no,0,104.6,121,149.5,71,255.1,67,6.5,8,2,False,0.864462809917355,2.1056338028169,3.80746268656716,0.8125
106,510,no,no,0,274.4,120,198.6,82,160.8,62,6,3,1,False,2.28666666666667,2.4219512195122,2.59354838709677,2
93,415,no,no,0,98.4,78,249.6,129,248.2,114,14.2,4,1,False,1.26153846153846,1.93488372093023,2.17719298245614,3.55
57,415,no,yes,29,279.9,121,223.1,109,251.7,94,13,2,1,False,2.31322314049587,2.04678899082569,2.67765957446808,6.5
98,510,no,no,0,187.2,127,195.6,88,181.8,129,5.1,4,1,False,1.4740157480315,2.22272727272727,1.4093023255814,1.275
157,415,no,no,0,276.2,95,165.8,119,151.6,79,2.2,4,3,False,2.90736842105263,1.39327731092437,1.91898734177215,0.55
72,415,no,no,0,217.8,93,189.7,113,182.6,91,10.4,5,4,False,2.34193548387097,1.6787610619469,2.00659340659341,2.08
135,510,no,yes,28,201.4,100,246.5,117,154.8,131,12.9,4,2,True,2.014,2.10683760683761,1.18167938931298,3.225
86,510,no,no,0,190.5,115,179.6,130,258.5,89,10.1,5,3,False,1.65652173913043,1.38153846153846,2.90449438202247,2.02
98,415,no,yes,29,179.9,97,189.2,89,164.3,76,12.8,7,3,False,1.85463917525773,2.12584269662921,2.16184210526316,1.82857142857143
151,510,no,no,0,235.9,104,80.6,91,212.8,116,5.8,2,3,False,2.26826923076923,0.885714285714286,1.83448275862069,2.9
118,415,no,no,0,140.4,112,187.1,60,207.9,155,7.9,1,0,False,1.25357142857143,3.11833333333333,1.34129032258065,7.9
117,415,no,no,0,144.6,115,258.8,66,253.2,113,7.4,9,2,False,1.25739130434783,3.92121212121212,2.24070796460177,0.822222222222222
55,510,no,no,0,189,100,118.5,99,248.1,87,17.1,6,0,False,1.89,1.1969696969697,2.85172413793103,2.85
82,408,no,no,0,101,93,155.6,104,304.4,93,13.3,2,0,False,1.08602150537634,1.49615384615385,3.27311827956989,6.65
152,415,no,no,0,206.3,98,292.8,82,43.7,121,10.6,4,1,False,2.10510204081633,3.57073170731707,0.361157024793388,2.65
130,415,no,no,0,155.9,95,256.1,97,262.9,103,11.7,3,3,False,1.64105263157895,2.64020618556701,2.55242718446602,3.9
47,415,no,no,0,155.3,116,188.2,85,247,73,12.3,4,3,False,1.33879310344828,2.21411764705882,3.38356164383562,3.075
189,415,no,no,0,208.3,106,236.7,123,179.1,120,11.3,5,3,False,1.96509433962264,1.92439024390244,1.4925,2.26
107,415,no,no,0,157.1,79,162.6,124,150,138,12.1,6,1,False,1.98860759493671,1.31129032258065,1.08695652173913,2.01666666666667
159,415,no,no,0,189.1,105,246.1,147,242,106,10.4,5,1,True,1.80095238095238,1.67414965986395,2.28301886792453,2.08
11,408,no,yes,24,131.5,98,230.2,111,283.7,87,10,3,2,False,1.34183673469388,2.07387387387387,3.26091954022988,3.33333333333333
99,408,no,yes,19,87.7,103,223,86,182.3,112,7.3,4,2,False,0.851456310679612,2.59302325581395,1.62767857142857,1.825
71,415,no,no,0,103.3,103,138.5,79,164.8,98,9,2,2,False,1.00291262135922,1.75316455696203,1.68163265306122,4.5
122,415,no,no,0,35.1,62,180.8,89,251.6,58,12.7,2,1,False,0.566129032258065,2.0314606741573,4.33793103448276,6.35
100,408,no,yes,25,246.6,94,141.4,112,189.8,109,13,5,1,False,2.62340425531915,1.2625,1.74128440366972,2.6
83,415,no,yes,37,78.5,109,210.5,101,179.7,102,11.8,4,1,False,0.720183486238532,2.08415841584158,1.76176470588235,2.95
64,408,no,no,0,148.1,73,164.9,101,216,125,12.3,2,5,True,2.02876712328767,1.63267326732673,1.728,6.15
144,415,no,yes,33,251.6,87,197.6,118,209.2,97,12.2,3,2,False,2.89195402298851,1.67457627118644,2.15670103092783,4.06666666666667
106,415,yes,yes,26,270.3,111,215.2,90,254,133,14.4,7,1,True,2.43513513513514,2.39111111111111,1.90977443609023,2.05714285714286
19,510,no,yes,34,156.6,97,224.2,97,260.9,135,11.3,1,1,False,1.61443298969072,2.31134020618557,1.93259259259259,11.3
46,408,no,no,0,139.4,81,223.7,113,173.1,77,13.6,6,1,False,1.72098765432099,1.97964601769911,2.24805194805195,2.26666666666667
127,510,no,no,0,220.2,108,188.4,124,172.7,113,11.7,3,2,False,2.03888888888889,1.51935483870968,1.5283185840708,3.9
9,415,no,yes,39,214.1,108,169.2,115,189.7,117,10.1,3,1,False,1.98240740740741,1.47130434782609,1.62136752136752,3.36666666666667
157,415,no,no,0,196,74,213.4,96,196.8,81,7.9,6,1,False,2.64864864864865,2.22291666666667,2.42962962962963,1.31666666666667
105,415,no,no,0,106.4,71,240.1,83,147.7,114,5.3,4,6,True,1.49859154929577,2.89277108433735,1.29561403508772,1.325
105,415,no,yes,29,179.4,113,275.4,100,246.1,105,10,5,0,False,1.58761061946903,2.754,2.34380952380952,2
155,408,no,no,0,216.7,30,144.3,125,135.3,106,10.8,1,2,False,7.22333333333333,1.1544,1.27641509433962,10.8
31,415,no,no,0,177.3,129,152.8,105,162.9,92,5.1,2,0,False,1.37441860465116,1.4552380952381,1.77065217391304,2.55
95,408,no,yes,32,262.2,123,165.2,82,194.3,57,10.6,5,0,False,2.13170731707317,2.01463414634146,3.40877192982456,2.12
122,415,no,no,0,173.6,110,91.7,84,211.7,103,9.7,7,3,False,1.57818181818182,1.09166666666667,2.05533980582524,1.38571428571429
37,415,yes,no,0,106.6,76,147.4,89,235.8,113,9.6,8,2,False,1.40263157894737,1.6561797752809,2.08672566371681,1.2
119,408,no,yes,24,217.2,94,138.7,52,139.3,85,11.3,4,0,False,2.31063829787234,2.66730769230769,1.63882352941176,2.825
16,408,no,no,0,209.5,89,172.8,85,94.1,102,8.8,4,1,False,2.35393258426966,2.03294117647059,0.922549019607843,2.2
99,408,no,no,0,95.4,105,207.2,101,136,117,5.6,5,1,False,0.908571428571429,2.05148514851485,1.16239316239316,1.12
76,408,no,yes,26,214.6,110,205.2,87,134.6,140,8.1,2,1,False,1.95090909090909,2.35862068965517,0.961428571428571,4.05
167,415,no,no,0,131.6,120,211.3,96,168.3,97,11.1,4,4,True,1.09666666666667,2.20104166666667,1.73505154639175,2.775
129,415,no,no,0,168.4,117,217.1,129,81.6,100,11.8,7,1,False,1.43931623931624,1.68294573643411,0.816,1.68571428571429
128,415,no,no,0,103.3,122,245.9,123,161.1,95,6.4,7,0,False,0.84672131147541,1.99918699186992,1.69578947368421,0.914285714285714
47,408,no,yes,28,112.2,70,154.8,106,166.7,105,10.6,2,0,False,1.60285714285714,1.46037735849057,1.58761904761905,5.3
157,510,no,yes,30,194.3,107,243.2,108,322.2,114,7.1,5,1,False,1.81588785046729,2.25185185185185,2.82631578947368,1.42
66,408,no,yes,32,187.8,117,129.8,90,132.3,113,12,3,2,False,1.60512820512821,1.44222222222222,1.17079646017699,4
72,415,no,no,0,118.2,106,167.2,136,214.2,106,12.2,3,3,False,1.11509433962264,1.22941176470588,2.02075471698113,4.06666666666667
89,510,yes,no,0,125.6,108,213,90,181.7,108,5.4,5,1,False,1.16296296296296,2.36666666666667,1.68240740740741,1.08
108,415,no,no,0,199.3,104,224.2,92,140.1,57,15.2,2,0,False,1.91634615384615,2.43695652173913,2.45789473684211,7.6
32,408,no,no,0,157.9,88,180.8,132,132.5,102,12.8,3,1,False,1.79431818181818,1.36969696969697,1.29901960784314,4.26666666666667
166,415,no,no,0,203.4,81,167.7,110,132,124,9.2,5,2,False,2.51111111111111,1.52454545454545,1.06451612903226,1.84
109,408,no,no,0,222.2,113,218.5,122,266,88,10.9,5,1,False,1.96637168141593,1.79098360655738,3.02272727272727,2.18
134,415,no,yes,32,216.8,78,102.2,111,174,83,8.6,2,0,False,2.77948717948718,0.920720720720721,2.09638554216867,4.3
13,415,no,no,0,193.2,89,194.4,90,186.5,104,9.7,2,4,False,2.17078651685393,2.16,1.79326923076923,4.85
90,415,no,no,0,113.2,108,189.3,63,271.8,124,14.1,4,3,False,1.04814814814815,3.0047619047619,2.19193548387097,3.525
111,415,no,yes,36,166.2,54,238.8,109,108.8,92,11.2,2,3,False,3.07777777777778,2.19082568807339,1.18260869565217,5.6
72,415,no,no,0,207.8,92,195.7,110,184.8,124,13.1,4,0,False,2.25869565217391,1.77909090909091,1.49032258064516,3.275
172,408,no,no,0,287.1,108,178.4,125,153.2,98,14.4,2,3,True,2.65833333333333,1.4272,1.56326530612245,7.2
154,510,no,yes,32,192.3,82,165.3,134,205,74,9,1,2,False,2.34512195121951,1.23358208955224,2.77027027027027,9
69,510,no,no,0,194.2,122,242.1,81,215.8,80,9.7,3,2,False,1.59180327868852,2.98888888888889,2.6975,3.23333333333333
123,415,no,no,0,211,92,217,102,214.8,104,9.8,7,3,False,2.29347826086957,2.12745098039216,2.06538461538462,1.4
130,415,no,yes,12,141.9,92,228.9,102,195.1,101,8.7,5,0,False,1.54239130434783,2.24411764705882,1.93168316831683,1.74
142,415,no,yes,26,220.5,94,239.5,126,254.3,109,5.9,9,2,False,2.34574468085106,1.90079365079365,2.33302752293578,0.655555555555556
87,408,no,yes,28,143.5,106,223.5,147,175.4,69,11.2,5,0,False,1.35377358490566,1.52040816326531,2.54202898550725,2.24
149,415,no,no,0,156,56,56,116,163.3,104,8.9,8,0,False,2.78571428571429,0.482758620689655,1.57019230769231,1.1125
146,408,yes,no,0,160.1,63,208.4,112,177.6,98,9.2,3,2,False,2.54126984126984,1.86071428571429,1.81224489795918,3.06666666666667
88,415,yes,no,0,235.1,98,251.8,79,285.9,76,7.2,2,4,True,2.39897959183673,3.1873417721519,3.76184210526316,3.6
119,415,yes,yes,15,160,95,209.5,110,82.3,107,8.7,5,5,True,1.68421052631579,1.90454545454545,0.769158878504673,1.74
48,510,no,no,0,188.4,63,165.9,89,205.7,71,13.2,2,1,False,2.99047619047619,1.86404494382022,2.89718309859155,6.6
135,415,no,no,0,194.8,97,235.3,118,174.4,126,11,3,1,False,2.00824742268041,1.99406779661017,1.38412698412698,3.66666666666667
98,415,no,no,0,221.2,80,213.6,104,291.8,89,11.9,3,4,False,2.765,2.05384615384615,3.27865168539326,3.96666666666667
180,415,no,yes,33,231.8,78,232.9,79,206.9,121,7.6,4,1,False,2.97179487179487,2.94810126582278,1.7099173553719,1.9
100,415,no,yes,25,215.9,90,257.9,92,180.2,157,11.6,4,1,False,2.39888888888889,2.80326086956522,1.14777070063694,2.9
155,408,no,yes,39,183.3,106,205.1,101,263.7,90,5.1,7,1,False,1.72924528301887,2.03069306930693,2.93,0.728571428571429
153,415,no,no,0,193.8,90,195.3,121,182.7,108,8.5,3,1,False,2.15333333333333,1.61404958677686,1.69166666666667,2.83333333333333
92,510,no,yes,25,134,112,206,111,180.6,118,9.7,4,0,False,1.19642857142857,1.85585585585586,1.53050847457627,2.425
13,510,no,yes,25,176.6,65,172.7,96,104.5,128,11.3,5,2,False,2.71692307692308,1.79895833333333,0.81640625,2.26
154,415,no,no,0,191.4,93,205.4,119,205.7,121,10.2,3,3,False,2.05806451612903,1.72605042016807,1.7,3.4
144,510,yes,yes,35,174.8,127,219.6,93,255.8,90,12.8,3,0,False,1.37637795275591,2.36129032258065,2.84222222222222,4.26666666666667
48,408,no,no,0,275.2,67,180.2,108,159,110,7.9,2,1,False,4.10746268656716,1.66851851851852,1.44545454545455,3.95
139,510,no,no,0,221.3,140,157.8,89,192.5,89,11.3,6,1,False,1.58071428571429,1.77303370786517,2.16292134831461,1.88333333333333
95,415,no,no,0,141.1,84,211.4,108,103.7,127,5.9,6,3,False,1.6797619047619,1.95740740740741,0.816535433070866,0.983333333333333
80,408,no,yes,31,166.4,92,238.3,74,150.7,84,10.7,4,4,False,1.80869565217391,3.22027027027027,1.79404761904762,2.675
131,415,no,yes,28,249.6,87,227.2,138,239.9,92,7.6,3,3,False,2.86896551724138,1.6463768115942,2.60760869565217,2.53333333333333
36,510,no,no,0,178.6,83,213.1,103,198,119,10.9,5,1,False,2.15180722891566,2.06893203883495,1.66386554621849,2.18
180,510,no,no,0,139,96,224.9,64,170.8,118,15.7,5,2,False,1.44791666666667,3.5140625,1.44745762711864,3.14
25,415,no,no,0,134.3,98,202.3,109,195.9,100,12.6,5,2,False,1.37040816326531,1.85596330275229,1.959,2.52
113,415,no,no,0,215.9,93,240.1,85,156.7,123,4.9,5,3,False,2.32150537634409,2.82470588235294,1.2739837398374,0.98
120,415,no,no,0,178.4,97,168.3,113,120.5,93,9.3,9,1,False,1.83917525773196,1.48938053097345,1.29569892473118,1.03333333333333
74,415,no,no,0,106.4,84,140.2,104,90.9,81,11.4,3,1,False,1.26666666666667,1.34807692307692,1.12222222222222,3.8
109,510,no,no,0,170.7,101,240.2,82,119,112,11.4,4,2,False,1.69009900990099,2.92926829268293,1.0625,2.85
162,510,no,yes,33,184.5,139,183.2,78,127.4,106,12.3,6,0,False,1.3273381294964,2.34871794871795,1.20188679245283,2.05
124,510,no,yes,37,161.2,109,204.2,79,231.5,87,8.9,4,1,False,1.47889908256881,2.58481012658228,2.66091954022989,2.225
177,408,no,no,0,84.9,77,257.5,109,210.5,66,7.5,5,2,False,1.1025974025974,2.36238532110092,3.18939393939394,1.5
24,510,no,no,0,243,91,183.9,77,184.3,109,15.3,6,0,True,2.67032967032967,2.38831168831169,1.69082568807339,2.55
48,510,no,no,0,128.2,71,48.1,78,116.3,80,8.9,3,0,False,1.8056338028169,0.616666666666667,1.45375,2.96666666666667
86,408,no,no,0,126.3,115,168.8,112,154.6,95,9.8,7,2,False,1.09826086956522,1.50714285714286,1.62736842105263,1.4
163,510,no,no,0,178.7,56,215.7,79,152.7,84,10.6,2,4,False,3.19107142857143,2.73037974683544,1.81785714285714,5.3
91,510,no,no,0,159,109,255.1,142,82.4,73,10.1,4,0,False,1.45871559633028,1.79647887323944,1.12876712328767,2.525
56,510,no,no,0,150.9,79,161.8,87,167.7,115,11.7,5,3,False,1.91012658227848,1.85977011494253,1.45826086956522,2.34
64,415,no,no,0,168,116,192.4,94,166.5,98,10.1,3,2,False,1.44827586206897,2.0468085106383,1.69897959183673,3.36666666666667
108,510,no,yes,34,162.1,83,171.8,117,259.8,76,9.6,3,4,True,1.95301204819277,1.46837606837607,3.41842105263158,3.2
159,510,no,no,0,198.8,107,195.5,91,213.3,120,16.5,7,5,False,1.85794392523364,2.14835164835165,1.7775,2.35714285714286
136,510,yes,no,0,256.8,90,230.1,104,143.6,82,9.1,10,3,False,2.85333333333333,2.2125,1.75121951219512,0.91
116,415,no,yes,35,182.8,122,212.7,119,193.8,103,11,2,1,False,1.4983606557377,1.78739495798319,1.88155339805825,5.5
45,408,no,yes,38,196.8,92,254.2,108,261.8,85,7.7,2,1,False,2.13913043478261,2.3537037037037,3.08,3.85
122,415,no,no,0,140.1,120,231.4,128,188.1,127,11.2,5,2,False,1.1675,1.8078125,1.48110236220472,2.24
138,415,no,no,0,194.3,83,189.9,97,232.2,102,9,3,5,False,2.34096385542169,1.95773195876289,2.27647058823529,3
132,415,no,no,0,117.6,66,214,108,239.5,94,8.8,5,1,False,1.78181818181818,1.98148148148148,2.54787234042553,1.76
101,415,yes,no,0,193.7,108,186.6,98,223,100,11.6,8,0,False,1.79351851851852,1.90408163265306,2.23,1.45
58,510,no,no,0,243.1,105,231.4,108,180.9,120,7.8,4,2,False,2.3152380952381,2.14259259259259,1.5075,1.95
81,415,no,no,0,145.4,132,129.3,91,186.4,109,5.2,4,1,False,1.10151515151515,1.42087912087912,1.71009174311927,1.3
87,415,no,no,0,169.1,105,169.9,102,244.9,106,9.9,10,3,False,1.61047619047619,1.6656862745098,2.31037735849057,0.99
85,415,yes,no,0,197.2,97,211.7,115,210.1,133,8.3,4,4,False,2.03298969072165,1.84086956521739,1.5796992481203,2.075
62,510,no,yes,33,186.4,84,201,136,286.7,103,11.1,3,2,True,2.21904761904762,1.47794117647059,2.78349514563107,3.7
90,415,no,no,0,76.1,121,290.3,73,236.9,89,10.8,3,0,False,0.628925619834711,3.97671232876712,2.66179775280899,3.6
73,415,no,no,0,182.3,115,199.2,97,120.2,113,18,5,1,False,1.58521739130435,2.05360824742268,1.06371681415929,3.6
107,510,yes,no,0,194.4,83,247.8,84,245.4,93,11.2,7,2,False,2.3421686746988,2.95,2.63870967741935,1.6
55,408,no,yes,20,189.3,95,118.6,113,250.2,102,12.5,4,2,False,1.99263157894737,1.04955752212389,2.45294117647059,3.125
76,415,no,yes,22,160.1,107,168.7,136,23.2,102,9.5,4,3,False,1.49626168224299,1.24044117647059,0.227450980392157,2.375
40,408,no,yes,31,224.7,69,134.5,81,120.3,104,7.5,5,1,True,3.25652173913043,1.66049382716049,1.15673076923077,1.5
72,408,no,no,0,147,79,162.3,103,162.9,80,10.5,4,1,False,1.86075949367089,1.57572815533981,2.03625,2.625
42,415,no,no,0,155.4,127,164.1,45,157.7,128,9,3,0,False,1.22362204724409,3.64666666666667,1.23203125,3
55,510,no,yes,45,130.5,114,208.4,94,141.6,114,11,5,4,True,1.14473684210526,2.21702127659574,1.24210526315789,2.2
74,415,no,no,0,162.7,102,292,105,183.3,80,8.7,6,0,False,1.59509803921569,2.78095238095238,2.29125,1.45
111,510,no,no,0,176.4,62,201,124,150.4,138,11.2,2,0,False,2.84516129032258,1.62096774193548,1.08985507246377,5.6
51,415,no,no,0,229.7,129,336,104,192.8,128,9.6,1,1,True,1.78062015503876,3.23076923076923,1.50625,9.6
87,510,no,no,0,115.4,90,262.6,68,245.7,69,13.1,5,2,False,1.28222222222222,3.86176470588235,3.56086956521739,2.62
58,510,no,no,0,112.2,95,209.6,108,260.9,78,13.9,1,0,True,1.18105263157895,1.94074074074074,3.34487179487179,13.9
109,408,no,no,0,162.6,138,154,109,209.7,118,11.5,4,0,False,1.17826086956522,1.41284403669725,1.7771186440678,2.875
144,415,no,no,0,139.6,96,124.2,93,95.6,75,15,4,2,False,1.45416666666667,1.33548387096774,1.27466666666667,3.75
135,415,no,no,0,263.8,66,251.3,116,200.1,112,8.4,2,5,True,3.9969696969697,2.16637931034483,1.78660714285714,4.2
109,415,no,yes,46,217.5,123,233.7,84,163.9,99,9,3,4,False,1.76829268292683,2.78214285714286,1.65555555555556,3
107,415,no,yes,14,114.3,132,199.8,91,194.7,74,7.5,8,1,False,0.865909090909091,2.1956043956044,2.63108108108108,0.9375
149,408,no,no,0,196.3,108,136.8,96,154.7,87,7.7,3,2,False,1.81759259259259,1.425,1.77816091954023,2.56666666666667
56,510,no,no,0,253.2,95,188,116,142,133,4.4,4,1,False,2.66526315789474,1.62068965517241,1.06766917293233,1.1
129,408,no,no,0,98,99,240.7,62,254.8,123,10.5,4,0,False,0.98989898989899,3.88225806451613,2.07154471544715,2.625
92,408,no,no,0,249.4,118,211.5,95,169,116,9.1,3,0,False,2.1135593220339,2.22631578947368,1.45689655172414,3.03333333333333
67,415,no,yes,30,129.6,107,233,104,297,93,14.5,5,1,False,1.21121495327103,2.24038461538462,3.19354838709677,2.9
120,415,no,no,0,221.3,106,267.6,98,111.5,80,9.3,7,0,False,2.0877358490566,2.73061224489796,1.39375,1.32857142857143
166,415,no,no,0,220.7,106,177.8,118,206.1,102,12.4,9,1,False,2.08207547169811,1.50677966101695,2.02058823529412,1.37777777777778
98,415,no,yes,31,181.6,112,220.7,100,236.3,121,12.9,4,2,False,1.62142857142857,2.207,1.95289256198347,3.225
137,415,no,no,0,115,130,137.8,83,224,61,7.3,4,3,False,0.884615384615385,1.66024096385542,3.67213114754098,1.825
171,408,no,no,0,270.5,69,230,112,136,111,9.6,5,1,True,3.92028985507246,2.05357142857143,1.22522522522523,1.92
88,510,no,no,0,61.9,78,262.6,114,212.5,110,8.8,2,3,False,0.793589743589744,2.30350877192982,1.93181818181818,4.4
89,415,no,no,0,141.1,92,249.1,126,136,73,10.8,2,2,False,1.53369565217391,1.97698412698413,1.86301369863014,5.4
82,415,no,no,0,189.2,81,184.4,117,255.8,83,10.6,5,3,True,2.3358024691358,1.57606837606838,3.08192771084337,2.12
139,510,no,no,0,196,135,186,146,153,92,9.8,1,3,False,1.45185185185185,1.27397260273973,1.66304347826087,9.8
87,415,no,no,0,171.6,119,205,107,170.6,114,13.8,4,0,False,1.44201680672269,1.91588785046729,1.49649122807018,3.45
137,415,yes,no,0,174,123,161.3,115,260.7,98,11.4,3,2,False,1.41463414634146,1.40260869565217,2.66020408163265,3.8
100,415,no,no,0,235.8,130,176,69,63.6,122,7.3,1,2,False,1.81384615384615,2.55072463768116,0.521311475409836,7.3
110,510,no,no,0,185.1,100,165.1,88,111.6,104,6.3,4,3,False,1.851,1.87613636363636,1.07307692307692,1.575
124,415,no,no,0,254.3,113,78.9,104,153.2,69,11.8,2,2,False,2.25044247787611,0.758653846153846,2.22028985507246,5.9
10,510,no,no,0,183,103,214.8,77,206.4,73,8.7,6,2,False,1.77669902912621,2.78961038961039,2.82739726027397,1.45
89,415,no,yes,29,163.5,80,274.8,136,381.9,147,7.5,5,2,False,2.04375,2.02058823529412,2.59795918367347,1.5
121,408,no,no,0,207.9,98,210.5,96,109.6,114,7.7,2,2,False,2.12142857142857,2.19270833333333,0.96140350877193,3.85
103,415,no,yes,31,185.4,105,197.6,126,147.1,110,14.5,4,2,False,1.76571428571429,1.56825396825397,1.33727272727273,3.625
51,408,no,no,0,197.8,60,221,64,168.6,134,8.9,5,1,False,3.29666666666667,3.453125,1.25820895522388,1.78
2,415,yes,no,0,132.1,42,138.9,88,192.6,119,9.1,1,2,True,3.1452380952381,1.57840909090909,1.61848739495798,9.1
111,510,no,no,0,197.1,117,227.8,128,214,101,9.3,11,0,False,1.68461538461538,1.7796875,2.11881188118812,0.845454545454546
118,415,no,no,0,154.6,112,184.2,105,217.4,102,12.6,5,2,False,1.38035714285714,1.75428571428571,2.13137254901961,2.52
17,510,no,yes,31,153.1,115,185.9,59,224.3,102,10,1,6,True,1.33130434782609,3.15084745762712,2.19901960784314,10
193,415,no,no,0,96.8,92,142.6,103,210.1,115,10.9,5,2,True,1.05217391304348,1.38446601941748,1.82695652173913,2.18
114,510,no,no,0,172,145,276.4,101,193.7,100,10.1,9,1,False,1.18620689655172,2.73663366336634,1.937,1.12222222222222
137,415,no,no,0,141.1,91,147.2,100,254.7,75,8,7,2,False,1.55054945054945,1.472,3.396,1.14285714285714
101,408,no,no,0,209.6,107,228.8,96,172.4,85,7.6,2,3,False,1.9588785046729,2.38333333333333,2.02823529411765,3.8
126,408,no,no,0,321.3,99,167.9,93,193.6,106,8,4,1,True,3.24545454545455,1.80537634408602,1.82641509433962,2
71,415,no,no,0,243.7,124,60,90,189,129,11.3,2,0,False,1.96532258064516,0.666666666666667,1.46511627906977,5.65
97,510,yes,no,0,236.9,107,157.6,105,241,120,7.3,2,0,True,2.21401869158879,1.50095238095238,2.00833333333333,3.65
28,415,no,no,0,159.7,79,216.7,131,206.7,116,9.3,3,2,False,2.02151898734177,1.65419847328244,1.78189655172414,3.1
90,415,yes,no,0,148.2,96,220.4,111,134.2,97,9.2,1,4,True,1.54375,1.98558558558559,1.38350515463918,9.2
31,415,no,yes,28,210.5,101,250.5,86,241.6,125,11.5,2,1,False,2.08415841584158,2.91279069767442,1.9328,5.75
52,415,no,yes,24,170.9,71,201.4,80,159,124,4.1,5,2,False,2.40704225352113,2.5175,1.28225806451613,0.82
73,510,no,no,0,254.7,80,90.2,79,153.4,60,10.6,8,0,False,3.18375,1.14177215189873,2.55666666666667,1.325
98,415,no,no,0,0,0,159.6,130,167.1,88,6.8,1,4,True,0,1.22769230769231,1.89886363636364,6.8
106,408,yes,no,0,133.7,45,187.8,107,181.9,89,10.7,2,1,True,2.97111111111111,1.75514018691589,2.0438202247191,5.35
111,408,no,no,0,224.9,117,191.9,127,229.9,97,10.3,3,0,False,1.92222222222222,1.51102362204724,2.37010309278351,3.43333333333333
13,415,no,no,0,58.4,121,262.2,64,159,115,11.9,5,1,False,0.482644628099174,4.096875,1.38260869565217,2.38
136,415,no,yes,16,90.4,105,201.3,109,227.1,115,13.1,4,0,False,0.860952380952381,1.84678899082569,1.97478260869565,3.275
123,408,no,no,0,114.4,91,216.6,123,250.6,102,11,3,0,False,1.25714285714286,1.7609756097561,2.45686274509804,3.66666666666667
105,408,no,no,0,147.7,103,222.7,78,163.5,102,12.8,3,2,False,1.43398058252427,2.85512820512821,1.60294117647059,4.26666666666667
50,408,no,yes,31,302.7,93,240.5,119,193.9,103,13.6,14,3,False,3.25483870967742,2.02100840336134,1.88252427184466,0.971428571428571
